period,stateid,value,type
2029-02-01,MA,5451.304,Forecasted
2029-03-01,MA,5451.304,Forecasted
2029-04-01,MA,5430.286,Forecasted
2029-05-01,MA,5436.4663,Forecasted
2029-06-01,MA,5409.0537,Forecasted
2029-07-01,MA,5607.5454,Forecasted
2029-08-01,MA,5607.5454,Forecasted
2029-09-01,MA,5411.5293,Forecasted
2029-10-01,MA,5373.5723,Forecasted
2029-11-01,MA,5366.854,Forecasted
2029-12-01,MA,5416.1177,Forecasted
2030-01-01,MA,5486.831,Forecasted
2030-02-01,MA,5451.304,Forecasted
2030-03-01,MA,5451.304,Forecasted
2030-04-01,MA,5430.286,Forecasted
2030-05-01,MA,5436.4663,Forecasted
2030-06-01,MA,5409.0537,Forecasted
2030-07-01,MA,5607.5454,Forecasted
2030-08-01,MA,5607.5454,Forecasted
2025-09-01,LA,9860.563,Forecasted
2025-10-01,LA,9799.847,Forecasted
2025-11-01,LA,9793.128,Forecasted
2025-12-01,LA,9849.472,Forecasted
2026-01-01,LA,9897.099,Forecasted
2026-02-01,LA,9816.233,Forecasted
2026-03-01,LA,9816.233,Forecasted
2026-04-01,LA,9788.897,Forecasted
2026-05-01,LA,9795.078,Forecasted
2026-06-01,LA,9867.716,Forecasted
2026-07-01,LA,9962.938,Forecasted
2026-08-01,LA,9962.938,Forecasted
2026-09-01,LA,9860.563,Forecasted
2026-10-01,LA,9799.847,Forecasted
2026-11-01,LA,9793.128,Forecasted
2026-12-01,LA,9849.472,Forecasted
2027-01-01,LA,9897.099,Forecasted
2027-02-01,LA,9816.233,Forecasted
2027-03-01,LA,9816.233,Forecasted
2027-04-01,LA,9788.897,Forecasted
2027-05-01,LA,9795.078,Forecasted
2027-06-01,LA,9867.716,Forecasted
2027-07-01,LA,9962.938,Forecasted
2027-08-01,LA,9962.938,Forecasted
2027-09-01,LA,9860.563,Forecasted
2027-10-01,LA,9799.847,Forecasted
2027-11-01,LA,9793.128,Forecasted
2027-12-01,LA,9849.472,Forecasted
2028-01-01,LA,9897.099,Forecasted
2028-02-01,LA,9816.233,Forecasted
2028-03-01,LA,9816.233,Forecasted
2028-04-01,LA,9788.897,Forecasted
2028-05-01,LA,9795.078,Forecasted
2028-06-01,LA,9867.716,Forecasted
2028-07-01,LA,9962.938,Forecasted
2028-08-01,LA,9962.938,Forecasted
2028-09-01,LA,9860.563,Forecasted
2028-10-01,LA,9799.847,Forecasted
2028-11-01,LA,9793.128,Forecasted
2028-12-01,LA,9849.472,Forecasted
2029-01-01,LA,9897.099,Forecasted
2029-02-01,LA,9816.233,Forecasted
2029-03-01,LA,9816.233,Forecasted
2029-04-01,LA,9788.897,Forecasted
2029-05-01,LA,9795.078,Forecasted
2029-06-01,LA,9867.716,Forecasted
2029-07-01,LA,9962.938,Forecasted
2029-08-01,LA,9962.938,Forecasted
2029-09-01,LA,9860.563,Forecasted
2029-10-01,LA,9799.847,Forecasted
2029-11-01,LA,9793.128,Forecasted
2029-12-01,LA,9849.472,Forecasted
2030-01-01,LA,9897.099,Forecasted
2030-02-01,LA,9816.233,Forecasted
2030-03-01,LA,9816.233,Forecasted
2030-04-01,LA,9788.897,Forecasted
2030-05-01,LA,9795.078,Forecasted
2030-06-01,LA,9867.716,Forecasted
2030-07-01,LA,9962.938,Forecasted
2030-08-01,LA,9962.938,Forecasted
2025-09-01,KY,7198.1724,Forecasted
2025-10-01,KY,7129.5747,Forecasted
2025-11-01,KY,7122.8564,Forecasted
2025-12-01,KY,7179.1973,Forecasted
2026-01-01,KY,7233.325,Forecasted
2026-02-01,KY,7144.711,Forecasted
2026-03-01,KY,7144.711,Forecasted
2026-04-01,KY,7117.376,Forecasted
2026-05-01,KY,7123.556,Forecasted
2026-06-01,KY,7198.2534,Forecasted
2026-07-01,KY,7283.2524,Forecasted
2026-08-01,KY,7283.2524,Forecasted
2026-09-01,KY,7198.1724,Forecasted
2026-10-01,KY,7129.5747,Forecasted
2026-11-01,KY,7122.8564,Forecasted
2026-12-01,KY,7179.1973,Forecasted
2027-01-01,KY,7233.325,Forecasted
2027-02-01,KY,7144.711,Forecasted
2027-03-01,KY,7144.711,Forecasted
